t, X(t)
0.000000, 1.500000
0.006289, 1.512500
0.012579, 1.524839
0.018868, 1.537016
0.025158, 1.549029
0.031447, 1.560876
0.037737, 1.572555
0.044026, 1.584065
0.050316, 1.595403
0.056605, 1.606567
0.062895, 1.617557
0.069184, 1.628370
0.075474, 1.639004
0.081763, 1.649458
0.088053, 1.659730
0.094342, 1.669819
0.100632, 1.679722
0.106921, 1.689439
0.113211, 1.698967
0.119500, 1.708306
0.125789, 1.717454
0.132079, 1.726409
0.138368, 1.735170
0.144658, 1.743736
0.150947, 1.752105
0.157237, 1.760275
0.163526, 1.768247
0.169816, 1.776017
0.176105, 1.783586
0.182395, 1.790952
0.188684, 1.798113
0.194974, 1.805069
0.201263, 1.811818
0.207553, 1.818360
0.213842, 1.824693
0.220132, 1.830817
0.226421, 1.836730
0.232711, 1.842432
0.239000, 1.847921
0.245290, 1.853197
0.251579, 1.858259
0.257868, 1.863106
0.264158, 1.867737
0.270447, 1.872152
0.276737, 1.876349
0.283026, 1.880329
0.289316, 1.884091
0.295605, 1.887633
0.301895, 1.890956
0.308184, 1.894059
0.314474, 1.896941
0.320763, 1.899602
0.327053, 1.902042
0.333342, 1.904260
0.339632, 1.906256
0.345921, 1.908029
0.352211, 1.909579
0.358500, 1.910907
0.364790, 1.912011
0.371079, 1.912892
0.377368, 1.913549
0.383658, 1.913982
0.389947, 1.914192
0.396237, 1.914178
0.402526, 1.913940
0.408816, 1.913479
0.415105, 1.912794
0.421395, 1.911885
0.427684, 1.910753
0.433974, 1.909398
0.440263, 1.907819
0.446553, 1.906018
0.452842, 1.903995
0.459132, 1.901749
0.465421, 1.899282
0.471711, 1.896593
0.478000, 1.893683
0.484290, 1.890553
0.490579, 1.887202
0.496869, 1.883632
0.503158, 1.879844
0.509447, 1.875836
0.515737, 1.871612
0.522026, 1.867170
0.528316, 1.862512
0.534605, 1.857638
0.540895, 1.852549
0.547184, 1.847247
0.553474, 1.841731
0.559763, 1.836003
0.566053, 1.830063
0.572342, 1.823913
0.578632, 1.817554
0.584921, 1.810986
0.591211, 1.804211
0.597500, 1.797229
0.603790, 1.790042
0.610079, 1.782651
0.616369, 1.775057
0.622658, 1.767261
0.628947, 1.759265
0.635237, 1.751069
0.641526, 1.742676
0.647816, 1.734086
0.654105, 1.725300
0.660395, 1.716321
0.666684, 1.707149
0.672974, 1.697787
0.679263, 1.688235
0.685553, 1.678494
0.691842, 1.668568
0.698132, 1.658456
0.704421, 1.648161
0.710711, 1.637684
0.717000, 1.627028
0.723290, 1.616193
0.729579, 1.605181
0.735869, 1.593995
0.742158, 1.582635
0.748447, 1.571105
0.754737, 1.559404
0.761026, 1.547536
0.767316, 1.535503
0.773605, 1.523305
0.779895, 1.510946
0.786184, 1.498426
0.792474, 1.485749
0.798763, 1.472916
0.805053, 1.459928
0.811342, 1.446789
0.817632, 1.433500
0.823921, 1.420064
0.830211, 1.406481
0.836500, 1.392756
0.842790, 1.378889
0.849079, 1.364883
0.855369, 1.350740
0.861658, 1.336462
0.867948, 1.322052
0.874237, 1.307513
0.880526, 1.292845
0.886816, 1.278052
0.893105, 1.263135
0.899395, 1.248099
0.905684, 1.232943
0.911974, 1.217672
0.918263, 1.202287
0.924553, 1.186791
0.930842, 1.171186
0.937132, 1.155475
0.943421, 1.139661
0.949711, 1.123745
0.956000, 1.107731
0.962290, 1.091620
0.968579, 1.075416
0.974869, 1.059120
0.981158, 1.042737
0.987448, 1.026267
0.993737, 1.009714
1.000026, 0.993080
1.006316, 0.976369
1.012605, 0.959582
1.018895, 0.942722
1.025184, 0.925792
1.031474, 0.908795
1.037763, 0.891733
1.044053, 0.874610
1.050342, 0.857427
1.056632, 0.840187
1.062921, 0.822894
1.069211, 0.805549
1.075500, 0.788156
1.081790, 0.770718
1.088079, 0.753236
1.094369, 0.735715
1.100658, 0.718156
1.106948, 0.700563
1.113237, 0.682938
1.119527, 0.665284
1.125816, 0.647604
1.132105, 0.629901
1.138395, 0.612177
1.144684, 0.594435
1.150974, 0.576679
1.157263, 0.558910
1.163553, 0.541132
1.169842, 0.523347
1.176132, 0.505559
1.182421, 0.487770
1.188711, 0.469983
1.195000, 0.452200
1.201290, 0.434425
1.207579, 0.416661
1.213869, 0.398910
1.220158, 0.381174
1.226448, 0.363458
1.232737, 0.345763
1.239027, 0.328092
1.245316, 0.310449
1.251605, 0.292835
1.257895, 0.275255
1.264184, 0.257710
1.270474, 0.240203
1.276763, 0.222738
1.283053, 0.205316
1.289342, 0.187941
1.295632, 0.170615
1.301921, 0.153342
1.308211, 0.136123
1.314500, 0.118962
1.320790, 0.101861
1.327079, 0.084823
1.333369, 0.067851
1.339658, 0.050947
1.345948, 0.034114
1.352237, 0.017355
1.358527, 0.000673
1.364816, -0.015931
1.371106, -0.032453
1.377395, -0.048891
1.383684, -0.065242
1.389974, -0.081503
1.396263, -0.097672
1.402553, -0.113747
1.408842, -0.129725
1.415132, -0.145603
1.421421, -0.161379
1.427711, -0.177051
1.434000, -0.192615
1.440290, -0.208069
1.446579, -0.223412
1.452869, -0.238640
1.459158, -0.253751
1.465448, -0.268743
1.471737, -0.283614
1.478027, -0.298360
1.484316, -0.312980
1.490606, -0.327471
1.496895, -0.341832
1.503184, -0.356059
1.509474, -0.370151
1.515763, -0.384105
1.522053, -0.397919
1.528342, -0.411592
1.534632, -0.425119
1.540921, -0.438501
1.547211, -0.451734
1.553500, -0.464817
1.559790, -0.477746
1.566079, -0.490521
1.572369, -0.503140
1.578658, -0.515599
1.584948, -0.527898
1.591237, -0.540035
1.597527, -0.552006
1.603816, -0.563812
1.610106, -0.575449
1.616395, -0.586915
1.622684, -0.598210
1.628974, -0.609331
1.635263, -0.620277
1.641553, -0.631045
1.647842, -0.641634
1.654132, -0.652043
1.660421, -0.662269
1.666711, -0.672312
1.673000, -0.682169
1.679290, -0.691839
1.685579, -0.701320
1.691869, -0.710611
1.698158, -0.719711
1.704448, -0.728618
1.710737, -0.737330
1.717027, -0.745847
1.723316, -0.754166
1.729606, -0.762287
1.735895, -0.770208
1.742185, -0.777928
1.748474, -0.785446
1.754763, -0.792761
1.761053, -0.799871
1.767342, -0.806776
1.773632, -0.813473
1.779921, -0.819963
1.786211, -0.826244
1.792500, -0.832315
1.798790, -0.838175
1.805079, -0.843824
1.811369, -0.849260
1.817658, -0.854482
1.823948, -0.859491
1.830237, -0.864284
1.836527, -0.868861
1.842816, -0.873221
1.849106, -0.877365
1.855395, -0.881290
1.861685, -0.884997
1.867974, -0.888484
1.874263, -0.891752
1.880553, -0.894800
1.886842, -0.897627
1.893132, -0.900233
1.899421, -0.902617
1.905711, -0.904780
1.912000, -0.906720
1.918290, -0.908437
1.924579, -0.909932
1.930869, -0.911204
1.937158, -0.912252
1.943448, -0.913077
1.949737, -0.913678
1.956027, -0.914056
1.962316, -0.914210
1.968606, -0.914140
1.974895, -0.913846
1.981185, -0.913329
1.987474, -0.912588
1.993764, -0.911623
2.000053, -0.910435
2.006342, -0.909024
2.012632, -0.907390
2.018921, -0.905533
2.025211, -0.903454
2.031500, -0.901153
2.037790, -0.898630
2.044079, -0.895886
2.050369, -0.892921
2.056658, -0.889736
2.062948, -0.886330
2.069237, -0.882706
2.075527, -0.878862
2.081816, -0.874801
2.088106, -0.870521
2.094395, -0.866025
2.100685, -0.861313
2.106974, -0.856386
2.113264, -0.851243
2.119553, -0.845888
2.125842, -0.840319
2.132132, -0.834538
2.138421, -0.828545
2.144711, -0.822343
2.151000, -0.815931
2.157290, -0.809312
2.163579, -0.802485
2.169869, -0.795451
2.176158, -0.788213
2.182448, -0.780771
2.188737, -0.773127
2.195027, -0.765281
2.201316, -0.757235
2.207606, -0.748990
2.213895, -0.740547
2.220185, -0.731908
2.226474, -0.723074
2.232764, -0.714046
2.239053, -0.704827
